"Åñ Sorted by Index Futures,JGB Futures, Index Options (Put, Call), Options on 10-year JGB futures, Individual Options,Commodity Futures,Commodity Futures Options each in contract month numerical order.",,,,,,,,,,,
Åñ the issues which passed the trading date is not listed in this file.,,,,,,,,,,,
Issue Code,Issue Name,PutÅ^Call,Contract Month,Strike Price,Settlement Price,Theoretical Price,Underlying Price,Volatility ,Interest Rate,Days until Maturity,Underlying Name
161090018,FUT_225_260910,,202609,,65260,65260,65142.78,,0.9081,2,Nikkei 225
161120018,FUT_225_261210,,202612,,65100,65118,65142.78,,1.5961,93,Nikkei 225
162030018,FUT_225_270311,,202703,,65300,65355,65142.78,,1.7799,184,Nikkei 225
162060018,FUT_225_270610,,202706,,65160,65218,65142.78,,1.5839,275,Nikkei 225
162090018,FUT_225_270909,,202709,,65490,65494,65142.78,,1.5839,366,Nikkei 225
162120018,FUT_225_271209,,202712,,65420,65419,65142.78,,1.5839,457,Nikkei 225
163060018,FUT_225_280608,,202806,,65650,65652,65142.78,,1.5839,639,Nikkei 225
163120018,FUT_225_281207,,202812,,65940,65943,65142.78,,1.5839,821,Nikkei 225
164060018,FUT_225_290607,,202906,,66250,66254,65142.78,,1.5839,1003,Nikkei 225
164120018,FUT_225_291213,,202912,,66800,66801,65142.78,,1.5839,1192,Nikkei 225
165060018,FUT_225_300613,,203006,,67070,67071,65142.78,,1.5839,1374,Nikkei 225
165120018,FUT_225_301212,,203012,,67480,67479,65142.78,,1.5839,1556,Nikkei 225
166060018,FUT_225_310612,,203106,,67820,67819,65142.78,,1.5839,1738,Nikkei 225
166120018,FUT_225_311211,,203112,,68390,68388,65142.78,,1.5839,1920,Nikkei 225
167060018,FUT_225_320610,,203206,,68840,68838,65142.78,,1.5839,2102,Nikkei 225
167120018,FUT_225_321209,,203212,,69340,69342,65142.78,,1.5839,2284,Nikkei 225
168060018,FUT_225_330609,,203306,,69870,69868,65142.78,,1.5839,2466,Nikkei 225
168120018,FUT_225_331208,,203312,,70440,70444,65142.78,,1.5839,2648,Nikkei 225
169060018,FUT_225_340608,,203406,,70730,70728,65142.78,,1.5839,2830,Nikkei 225
161090019,FUT_225M_260910,,202609,,65260,65260,65142.78,,0.9081,2,Nikkei 225
161100019,FUT_225M_261008,,202610,,65000,64974,65142.78,,1.2846,30,Nikkei 225
161110019,FUT_225M_261112,,202611,,64970,65054,65142.78,,1.2846,65,Nikkei 225
161120019,FUT_225M_261210,,202612,,65100,65118,65142.78,,1.5961,93,Nikkei 225
162010019,FUT_225M_270107,,202701,,65230,65232,65142.78,,1.7799,121,Nikkei 225
162030019,FUT_225M_270311,,202703,,65300,65355,65142.78,,1.7799,184,Nikkei 225
162060019,FUT_225M_270610,,202706,,65160,65218,65142.78,,1.5839,275,Nikkei 225
162090019,FUT_225M_270909,,202709,,65490,65494,65142.78,,1.5839,366,Nikkei 225
162120019,FUT_225M_271209,,202712,,65420,65419,65142.78,,1.5839,457,Nikkei 225
163060019,FUT_225M_280608,,202806,,65650,65652,65142.78,,1.5839,639,Nikkei 225
163120019,FUT_225M_281207,,202812,,65940,65943,65142.78,,1.5839,821,Nikkei 225
164060019,FUT_225M_290607,,202906,,66250,66254,65142.78,,1.5839,1003,Nikkei 225
164120019,FUT_225M_291213,,202912,,66800,66801,65142.78,,1.5839,1192,Nikkei 225
165060019,FUT_225M_300613,,203006,,67070,67071,65142.78,,1.5839,1374,Nikkei 225
165120019,FUT_225M_301212,,203012,,67480,67479,65142.78,,1.5839,1556,Nikkei 225
166060019,FUT_225M_310612,,203106,,67820,67819,65142.78,,1.5839,1738,Nikkei 225
161090023,FUT_225MC_260910,,202609,,65260,65260,65142.78,,0.9081,2,Nikkei 225
161100023,FUT_225MC_261008,,202610,,65000,64974,65142.78,,1.2846,30,Nikkei 225
161110023,FUT_225MC_261112,,202611,,64970,65054,65142.78,,1.2846,65,Nikkei 225
161120023,FUT_225MC_261210,,202612,,65100,65118,65142.78,,1.5961,93,Nikkei 225
161090005,FUT_TPX_260910,,202609,,4050,4050,4046.64,,0.9081,2,TOPIX
161120005,FUT_TPX_261210,,202612,,4027.5,4030.8,4046.64,,1.5961,93,TOPIX
162030005,FUT_TPX_270311,,202703,,4044.5,4044.7,4046.64,,1.7799,184,TOPIX
162060005,FUT_TPX_270610,,202706,,4018.5,4018.3,4046.64,,1.5839,275,TOPIX
162090005,FUT_TPX_270909,,202709,,4029,4029,4046.64,,1.5839,366,TOPIX
162120005,FUT_TPX_271209,,202712,,4010,4010.1,4046.64,,1.5839,457,TOPIX
163060005,FUT_TPX_280608,,202806,,3998.5,3998.4,4046.64,,1.5839,639,TOPIX
163120005,FUT_TPX_281207,,202812,,3990.5,3990.7,4046.64,,1.5839,821,TOPIX
164060005,FUT_TPX_290607,,202906,,3979.5,3979.6,4046.64,,1.5839,1003,TOPIX
164120005,FUT_TPX_291213,,202912,,3973.5,3973.6,4046.64,,1.5839,1192,TOPIX
165060005,FUT_TPX_300613,,203006,,3963,3963.1,4046.64,,1.5839,1374,TOPIX
165120005,FUT_TPX_301212,,203012,,3956.5,3956.4,4046.64,,1.5839,1556,TOPIX
166060005,FUT_TPX_310612,,203106,,3946.5,3946.5,4046.64,,1.5839,1738,TOPIX
161090006,FUT_TPXM_260910,,202609,,4050,4050,4046.64,,0.9081,2,TOPIX
161120006,FUT_TPXM_261210,,202612,,4027.5,4030.77,4046.64,,1.5961,93,TOPIX
162030006,FUT_TPXM_270311,,202703,,4044.5,4044.67,4046.64,,1.7799,184,TOPIX
161090022,FUT_400_260910,,202609,,36490,36490,36375.41,,0.9081,2,JPX-Nikkei Index 400
161120022,FUT_400_261210,,202612,,36100,36321,36375.41,,1.5961,93,JPX-Nikkei Index 400
162030022,FUT_400_270311,,202703,,36440,36441,36375.41,,1.7799,184,JPX-Nikkei Index 400
162060022,FUT_400_270610,,202706,,36215,36217,36375.41,,1.5839,275,JPX-Nikkei Index 400
162090022,FUT_400_270909,,202709,,36310,36309,36375.41,,1.5839,366,JPX-Nikkei Index 400
161090012,FUT_JP150_260910,,202609,,1694,1694,1693.89,,0.9081,2,JPX Prime 150 Index
161120012,FUT_JP150_261210,,202612,,1686,1685.9,1693.89,,1.5961,93,JPX Prime 150 Index
162030012,FUT_JP150_270311,,202703,,1691.5,1691.7,1693.89,,1.7799,184,JPX Prime 150 Index
162060012,FUT_JP150_270610,,202706,,1680.5,1680.7,1693.89,,1.5839,275,JPX Prime 150 Index
162090012,FUT_JP150_270909,,202709,,1685,1685.2,1693.89,,1.5839,366,JPX Prime 150 Index
161090063,FUT_C30_260910,,202609,,2118.5,2118.4,2118.26,,0.9081,2,TOPIX Core30
161120063,FUT_C30_261210,,202612,,2108,2108.1,2118.26,,1.5961,93,TOPIX Core30
162030063,FUT_C30_270311,,202703,,2117.5,2117.3,2118.26,,1.7799,184,TOPIX Core30
161090065,FUT_SJESG_260910,,202609,,4705.5,4705.3,4705.09,,0.9081,2,S&P/JPX 500 ESG Score Tilted Index
161120065,FUT_SJESG_261210,,202612,,4683,4683,4705.09,,1.5961,93,S&P/JPX 500 ESG Score Tilted Index
162030065,FUT_SJESG_270311,,202703,,4699,4699.1,4705.09,,1.7799,184,S&P/JPX 500 ESG Score Tilted Index
161090066,FUT_FJNZR_260910,,202609,,2615.5,2615.6,2615.49,,0.9081,2,FTSE JPX Net Zero Japan 500 Index
161120066,FUT_FJNZR_261210,,202612,,2603,2603.2,2615.49,,1.5961,93,FTSE JPX Net Zero Japan 500 Index
162030066,FUT_FJNZR_270311,,202703,,2612,2612.2,2615.49,,1.7799,184,FTSE JPX Net Zero Japan 500 Index
161090067,FUT_NKC15_260910,,202609,,64060,64062,64059.26,,0.9081,2,Nikkei Climate 1.5C Target Index
161120067,FUT_NKC15_261210,,202612,,63970,63974,64059.26,,1.5961,93,Nikkei Climate 1.5C Target Index
162030067,FUT_NKC15_270311,,202703,,64190,64195,64059.26,,1.7799,184,Nikkei Climate 1.5C Target Index
161090032,FUT_BANK_260910,,202609,,748.8,748.8,748.72,,0.9081,2,TOPIX Banks Index
161120032,FUT_BANK_261210,,202612,,743.4,743.4,748.72,,1.5961,93,TOPIX Banks Index
162030032,FUT_BANK_270311,,202703,,747,747,748.72,,1.7799,184,TOPIX Banks Index
161090069,FUT_REIT_260910,,202609,,1753.5,1753.7,1753.61,,0.9081,2,TSE REIT Index
161120069,FUT_REIT_261210,,202612,,1746,1745.9,1753.61,,1.5961,93,TSE REIT Index
162030069,FUT_REIT_270311,,202703,,1721.5,1721.4,1753.61,,1.7799,184,TSE REIT Index
161090073,FUT_DJIA_260918,,202609,,52825,,52786.07,,,15,DJIA
161120073,FUT_DJIA_261218,,202612,,53105,,52786.07,,,103,DJIA
162030073,FUT_DJIA_270319,,202703,,53737,,52786.07,,,195,DJIA
162060073,FUT_DJIA_270617,,202706,,54237,,52786.07,,,282,DJIA
161090076,FUT_RNP_260910,,202609,,1700,,1700,,0.9081,2,RNP
161120076,FUT_RNP_261210,,202612,,1692,,1700,,1.5961,93,RNP
162030076,FUT_RNP_270311,,202703,,1698,,1700,,1.7799,184,RNP
162060076,FUT_RNP_270610,,202706,,1687,,1700,,1.5839,275,RNP
162090076,FUT_RNP_270909,,202709,,1691.5,,1700,,1.5839,366,RNP
161120017,FUT_NKDV_270331,,202612,,970,,,,,204,Nikkei Stock Average Dividend Point Index
162120017,FUT_NKDV_280331,,202712,,1200,,,,,572,Nikkei Stock Average Dividend Point Index
163120017,FUT_NKDV_290330,,202812,,1325,,,,,936,Nikkei Stock Average Dividend Point Index
164120017,FUT_NKDV_300329,,202912,,1348.9,,,,,1300,Nikkei Stock Average Dividend Point Index
165120017,FUT_NKDV_310331,,203012,,1143,,,,,1665,Nikkei Stock Average Dividend Point Index
166120017,FUT_NKDV_320331,,203112,,1143,,,,,2031,Nikkei Stock Average Dividend Point Index
167120017,FUT_NKDV_330331,,203212,,1143,,,,,2396,Nikkei Stock Average Dividend Point Index
168120017,FUT_NKDV_340331,,203312,,1143,,,,,2763,Nikkei Stock Average Dividend Point Index
161090001,FUT_JBL_260914,,202609,,126.38,,,,,15,10-year JGB
161120001,FUT_JBL_261214,,202612,,125.8,,,,,103,10-year JGB
162030001,FUT_JBL_270315,,202703,,124.83,,,,,195,10-year JGB
161090007,FUT_JBLM_260911,,202609,,126.38,,,,,5,10-year JGB
161120007,FUT_JBLM_261211,,202612,,125.8,,,,,96,10-year JGB
162030007,FUT_JBLM_270312,,202703,,124.83,,,,,187,10-year JGB
161090004,FUT_JBM_260914,,202609,,103.38,,,,,15,5-year JGB
161120004,FUT_JBM_261214,,202612,,103,,,,,103,5-year JGB
162030004,FUT_JBM_270315,,202703,,102.61,,,,,195,5-year JGB
161090002,FUT_JBS_260914,,202609,,90.7,,,,,15,20-year JGB
161120002,FUT_JBS_261214,,202612,,90.14,,,,,103,20-year JGB
162030002,FUT_JBS_270315,,202703,,89.69,,,,,195,20-year JGB
161060091,FUT_TOA3M_260915,,202606,,99.0225,,,,,7,3-Month TONA
161090091,FUT_TOA3M_261215,,202609,,98.77,,,,,98,3-Month TONA
161120091,FUT_TOA3M_270316,,202612,,98.515,,,,,189,3-Month TONA
162030091,FUT_TOA3M_270615,,202703,,98.315,,,,,280,3-Month TONA
162060091,FUT_TOA3M_270914,,202706,,98.14,,,,,371,3-Month TONA
162090091,FUT_TOA3M_271214,,202709,,98.0125,,,,,462,3-Month TONA
162120091,FUT_TOA3M_280314,,202712,,97.9325,,,,,553,3-Month TONA
163030091,FUT_TOA3M_280620,,202803,,97.85,,,,,651,3-Month TONA
163060091,FUT_TOA3M_280919,,202806,,97.78,,,,,742,3-Month TONA
163090091,FUT_TOA3M_281219,,202809,,97.7325,,,,,833,3-Month TONA
163120091,FUT_TOA3M_290319,,202812,,97.6875,,,,,924,3-Month TONA
164030091,FUT_TOA3M_290619,,202903,,97.6425,,,,,1015,3-Month TONA
164060091,FUT_TOA3M_290918,,202906,,97.6,,,,,1106,3-Month TONA
164090091,FUT_TOA3M_291218,,202909,,97.5575,,,,,1197,3-Month TONA
164120091,FUT_TOA3M_300319,,202912,,97.5125,,,,,1289,3-Month TONA
165030091,FUT_TOA3M_300618,,203003,,97.4675,,,,,1379,3-Month TONA
165060091,FUT_TOA3M_300917,,203006,,97.42,,,,,1470,3-Month TONA
165090091,FUT_TOA3M_301217,,203009,,97.3725,,,,,1561,3-Month TONA
165120091,FUT_TOA3M_310318,,203012,,97.3225,,,,,1652,3-Month TONA
166030091,FUT_TOA3M_310617,,203103,,97.275,,,,,1743,3-Month TONA
161090011,FUT_MOTH_260910,,202609,,784,784,783.76,,0.9081,2,TSE Growth Market 250 Index
161120011,FUT_MOTH_261210,,202612,,786,786,783.76,,1.5961,93,TSE Growth Market 250 Index
162030011,FUT_MOTH_270311,,202703,,789,789,783.76,,1.7799,184,TSE Growth Market 250 Index
162060011,FUT_MOTH_270610,,202706,,790,790,783.76,,1.5839,275,TSE Growth Market 250 Index
162090011,FUT_MOTH_270909,,202709,,792,792,783.76,,1.5839,366,TSE Growth Market 250 Index
161090078,FUT_TAIX_260915,,202609,,46955,,47183.36,,,7,TAIEX
161100078,FUT_TAIX_261020,,202610,,47131,,47183.36,,,42,TAIEX
161120078,FUT_TAIX_261215,,202612,,47414,,47183.36,,,98,TAIEX
162030078,FUT_TAIX_270316,,202703,,47916,,47183.36,,,189,TAIEX
162060078,FUT_TAIX_270615,,202706,,48426,,47183.36,,,280,TAIEX
161090079,FUT_FT50_260929,,202609,,15975,,15899.35,,,21,FTSE China 50
161100079,FUT_FT50_261029,,202610,,15990,,15899.35,,,51,FTSE China 50
161120079,FUT_FT50_261230,,202612,,16015,,15899.35,,,117,FTSE China 50
162030079,FUT_FT50_270330,,202703,,16105,,15899.35,,,203,FTSE China 50
161100015,FUT_NVI_261013,,202610,,33,,31.55,,,35,Nikkei 225 VI 
161110015,FUT_NVI_261110,,202611,,30.5,,31.55,,,63,Nikkei 225 VI 
161120015,FUT_NVI_261208,,202612,,31.2,,31.55,,,91,Nikkei 225 VI 
162010015,FUT_NVI_270112,,202701,,34.9,,31.55,,,126,Nikkei 225 VI 
162020015,FUT_NVI_270209,,202702,,30.9,,31.55,,,154,Nikkei 225 VI 
162030015,FUT_NVI_270309,,202703,,30.9,,31.55,,,182,Nikkei 225 VI 
